remote,exam_total,pid,anid,l01q1,l01q2,l01q3,l01q4,l01q5,l01q6,l01q7,l01q8,l01q9,l01q10,l01q11,l01q12,l01q13,l02q1,l02q2,l02q3,l02q4,l02q5,l02q6,l02q7,l02q8,l02q9,l02q10,l02q11,l02q12,l02q13,l02q14,l02q15,l03q1,l03q2,l03q3,l03q4,l03q5,l03q6,l03q7,l03q8,l03q9,l03q10,l03q11,l03q12,l03q13,l03q14,l04q1,l04q2,l04q3,l04q4,l04q5,l04q6,l04q7,l04q8,l04q9,l04q10,l04q11,l04q12,l04q13,l04q14,l04q15,l05q1,l05q2,l05q3,l05q4,l05q5,l05q6,l05q7,l05q8,l05q9,l05q10,l05q11,l05q12,l06q1,l06q2,l06q3,l06q4,l06q5,l06q6,l06q7,l07q1,l07q2,l07q3,l07q4,l07q5,l07q6,l08q1,l08q2,l08q3,l08q4,l08q5,l09q1,l09q2,l09q3,l09q4,l09q5,l09q6,l09q7,l09q8,l09q9,l09q10,l09q11,l09q12,l09q13,l10q1,l10q2,l10q3,l10q4,l10q5,l10q6,l10q7,l10q8,l11q1,l11q2,l11q3,l11q4,l11q5,l11q6,l11q7,l11q8,l11q9,l11q10,l12q1,l12q2,l12q3,l12q4,l12q5,l12q6,l12q7,l12q8,l12q9,l12q10,l13q1,l13q2,l13q3,l13q4,l13q5,l13q6,l13q7,l13q8,l14q1,l14q2,l14q3,l14q4,l14q5,l14q6,l14q7,l14q8,l14q9,l14q10,l14q11,l14q12
#23B222B3,83,A09542598,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,3,3,3,4,3,3,3,1,3,4,4,4,4,1,3,5,5,4,4,1,1,5,4,4,4,NA,4,2,5,2,1,2,2,3,3,3,3,2,4,2,2,1,3,1,2,2,1,4,2,4,1,2,4,4,NA,NA,NA,NA,NA,NA,NA,2,2,3,3,5,2,4,3,5,2,2,NA,NA,2,2,3,5,3,1,1,2,4,1,1,4,4,1,4,2,2,3,2,3,1,4,1,2,5,4,4,1,5,NA,3,3,3,2,2,1,2,2,4,1,1,2,2,5,5,2,3,2,2,3,5,3,1,1,2,4,4,2,1
#260787A6,56,A98414266,75,5,2,2,1,2,3,1,4,3,2,2,2,3,1,1,2,3,1,3,2,4,3,2,3,3,5,4,5,1,3,2,2,3,4,1,NA,4,4,4,4,NA,4,5,5,1,1,2,2,4,4,3,1,4,3,2,2,3,1,3,3,3,4,4,2,4,1,4,4,5,1,2,1,2,1,1,1,NA,NA,NA,NA,NA,NA,2,3,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,4,3,4,1,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,2,1,1,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
#310A8BB0,82,A10168892,27,2,2,4,2,3,3,3,3,3,3,2,3,3,1,4,1,1,5,5,2,3,1,4,4,4,4,4,NA,5,1,1,1,1,4,1,1,1,2,4,4,NA,1,2,5,2,1,5,2,3,3,4,4,4,4,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,2,2,3,2,1,3,3,4,1,1,3,3,2,2,NA,NA,3,2,3,3,3,3,1,3,3,2,2,4,4,4,4,2,3,2,2,2,1,2,1,3,5,3,2,5,5,NA,NA,3,3,3,3,2,2,4,2,2,1,2,2,3,4,3,3,2,2,3,3,1,1,5,3,1,1,4,1
#38648DD1,87,A10625078,11,1,2,2,2,4,4,2,2,2,3,1,1,5,3,1,2,3,4,4,3,3,3,1,3,3,4,4,4,4,3,4,5,5,4,1,1,2,4,3,4,NA,4,3,3,1,1,2,2,2,3,3,3,5,5,3,3,1,2,2,2,NA,4,4,4,4,1,1,3,2,2,5,2,5,1,2,1,2,2,3,3,3,3,3,1,1,2,2,3,3,2,2,3,3,3,2,2,2,5,2,1,4,4,5,4,2,2,2,2,1,1,2,2,2,5,1,2,5,5,2,3,3,3,3,3,3,3,3,3,1,1,2,1,4,4,3,3,2,2,3,4,1,1,5,5,3,3,1,1
#820E6FE3,52,A10256824,80,NA,NA,NA,1,4,NA,3,4,3,3,NA,3,3,NA,NA,NA,NA,NA,5,3,3,2,2,1,1,2,2,4,NA,NA,NA,NA,2,4,1,1,3,5,2,4,NA,4,1,5,2,2,1,2,2,2,4,4,3,5,2,2,1,2,2,3,4,4,NA,3,4,2,4,3,5,NA,NA,3,4,2,2,4,2,3,4,3,3,3,2,2,NA,1,1,NA,NA,NA,NA,NA,NA,NA,2,2,2,4,3,3,NA,NA,1,2,1,NA,2,2,2,3,3,NA,3,3,3,4,4,2,NA,NA,2,3,2,2,3,3,3,3,NA,NA,NA,NA,2,2,2,3,1,3,2,3,3,3,5,5,2,3,2,2
#8216881C,86,A10331235,24,2,2,1,1,2,2,3,3,3,3,1,5,5,1,1,3,5,2,2,3,3,2,2,2,5,4,4,4,1,4,3,4,3,4,1,1,5,5,4,4,NA,1,3,3,3,3,3,3,4,4,4,4,4,4,2,2,1,2,2,1,5,1,1,4,1,1,2,1,1,1,1,4,4,2,2,2,1,2,3,3,1,1,3,2,2,3,2,NA,3,1,1,2,2,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,1,2,2,5,5,5,5,1,3,2,4,2,2,2,2,2,2,2,2,3,3,1,1,3,3,NA,NA,NA,NA,1,1,2,2,4,4,2,2
#822767C2,74,A10061709,60,2,2,4,4,3,3,2,2,3,3,2,5,3,5,5,3,3,3,3,3,3,3,3,1,4,4,4,4,3,1,2,4,1,1,1,1,4,4,4,4,NA,1,3,3,1,1,2,2,1,2,4,4,3,5,2,2,1,1,2,2,2,4,4,2,4,2,1,2,2,NA,NA,NA,NA,NA,NA,NA,2,2,3,3,4,2,4,3,3,2,2,2,2,3,1,3,4,4,2,2,1,1,1,1,4,4,4,4,1,1,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,3,3,2,1,2,2,4,3,2,2,3,3,NA,NA,3,3,2,2,5,3,3,4,5,5,1,1,NA,1
#823775C0,75,A09784557,46,2,2,1,1,4,4,3,3,3,NA,2,3,3,3,4,3,3,5,5,3,NA,2,2,3,3,3,4,NA,1,3,3,3,4,5,1,NA,1,4,5,4,NA,1,3,1,1,1,2,2,4,1,4,4,5,NA,2,NA,1,1,4,2,1,2,2,3,2,3,3,4,4,4,2,NA,2,3,1,2,3,2,2,3,4,NA,1,2,3,3,2,3,3,2,3,4,4,4,2,2,2,1,NA,NA,4,4,3,4,1,NA,4,NA,3,1,1,2,5,NA,2,1,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,NA,2,2,4,4,3,3,1,1,2,5,2,2,5,5
#826124C7,75,A10263137,52,NA,2,1,1,1,1,2,2,3,3,5,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,5,3,3,3,1,2,4,4,4,NA,1,2,2,4,1,3,2,3,2,4,4,3,3,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,3,3,NA,2,5,4,2,2,4,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,1,3,3,2,2,3,3,1,4,4,3,2,2,4,4,3,2,3,3,4,3,2,3,1,1,3,3,2,2,3,3,1,2,5,5,4,4,1,3
#8296FFEB,72,A10272963,57,2,2,1,1,4,4,3,5,2,2,2,4,4,2,4,3,3,2,4,3,3,2,4,4,5,2,2,4,1,5,2,4,3,4,3,1,5,5,4,NA,NA,4,3,3,1,1,2,2,2,3,4,4,2,3,2,2,1,1,1,1,1,1,1,2,2,1,1,2,2,2,2,NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,1,3,1,2,2,NA,NA,NA,NA,NA,NA,NA,1,2,3,3,1,1,1,1,1,1,1,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,1,1,1,1,5,5,NA,3,3,2,4,3,2,2,3,3,4,4,2,1
#82ABF3DA,87.5,A98425568,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,4,4,1,4,2,2,2,1,2,4,4,4,3,5,5,2,3,2,1,1,1,1,4,NA,1,NA,NA,2,1,1,NA,2,1,1,2,2,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,1,1,1,3,3,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
#82C2DD9D,81,A09906567,38,2,2,1,1,2,4,4,4,3,3,NA,3,3,NA,NA,2,3,1,1,3,3,2,2,5,1,2,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,1,2,2,2,3,4,4,5,3,2,2,4,2,2,2,2,4,4,3,2,1,2,4,4,2,1,2,2,1,2,2,2,3,4,3,5,1,1,2,1,2,2,2,1,2,2,2,3,3,3,3,3,3,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,3,2,2,2,3,3,2,3,2,3,2,3,2,2,2,3,2,2,2,2,3,3,2,2,2,2,3,3,1,1,2,3,1,3,2,2
#82D0B1E3,88.5,A09947062,18,2,2,2,2,3,4,3,2,3,3,2,3,3,1,1,3,3,1,4,1,2,2,2,1,3,4,4,4,3,1,2,2,4,4,1,1,5,5,1,1,NA,1,3,NA,1,1,4,2,3,3,4,4,4,4,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,3,3,3,3,3,2,2,3,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,5,5,1,4,2,2,3,3,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,3,3,4,1,2,2,4,4,3,1
#82DD4A15,92,A97006442,10,2,2,4,4,3,3,2,2,3,3,1,5,3,4,5,2,3,5,5,4,4,2,2,1,4,4,4,4,3,3,4,4,4,4,1,NA,2,3,1,4,NA,4,4,3,1,1,1,1,2,2,4,4,4,4,1,5,2,3,3,2,2,4,4,3,4,4,NA,4,5,2,2,5,5,NA,2,2,2,2,3,3,2,3,NA,NA,NA,NA,NA,3,4,3,3,3,3,3,2,2,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,3,3,1,1,2,2,3,1,1,1
#82E57D1A,63,A09961867,56,2,2,4,4,4,4,2,2,3,3,2,4,3,2,2,3,3,5,2,4,3,2,2,2,3,2,4,4,3,5,4,4,2,4,1,1,1,3,1,4,NA,4,3,3,1,1,2,2,4,4,4,4,4,4,1,2,1,3,2,3,2,1,1,1,4,2,1,2,2,2,2,2,4,1,1,1,2,2,3,3,4,4,4,3,NA,2,2,3,3,2,4,4,3,2,1,2,4,3,4,1,1,5,1,4,2,2,1,2,1,1,3,1,3,3,2,2,5,5,4,3,2,3,2,3,3,3,4,3,2,NA,1,3,2,2,3,3,4,4,3,3,3,4,2,5,1,1,1,1
#82EA8FE7,68,A09973903,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,4,5,4,4,1,NA,4,4,1,5,NA,1,1,3,1,1,5,5,4,4,4,NA,5,3,2,2,1,2,2,1,2,2,3,4,4,1,1,1,1,1,1,5,5,1,3,2,1,2,3,4,2,2,2,3,NA,2,2,NA,3,1,1,2,2,2,1,2,2,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,3,4,1,5,4,4,4,4,NA,NA,3,3,2,2,5,4,1,3,2,1,2,2,1,1,3,3,2,4,3,3,2,3,2,2,3,3,1,1
#830229A8,86.5,A97023472,40,2,2,1,1,2,3,2,2,1,3,2,4,3,3,1,3,3,2,4,3,1,2,2,2,3,4,2,4,3,3,4,4,4,4,4,1,2,5,4,4,NA,3,4,5,1,1,3,4,4,4,4,4,4,4,2,2,1,1,1,4,5,1,1,4,4,1,1,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,3,3,5,3,5,5,2,5,2,1,NA,4,4,1,2,3,1,NA,NA,1,1,1,1,1,NA,1,1,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,3,3,2,3,5,3,4,4,2,1
#830B1B93,103.5,A09784824,3,2,2,2,4,3,3,2,2,3,3,2,4,3,3,1,3,3,4,4,3,3,2,2,1,4,4,1,4,3,3,4,4,1,4,1,1,4,5,4,4,NA,1,3,5,1,1,2,2,2,2,4,4,5,5,2,2,1,2,2,5,5,5,4,4,4,1,1,4,5,2,2,3,4,3,3,3,2,2,2,5,4,4,4,3,3,2,2,3,3,5,5,3,3,3,2,2,3,3,1,1,5,5,4,4,4,4,2,2,3,1,1,1,5,5,2,2,5,5,4,4,3,1,3,3,2,1,3,3,3,3,3,3,3,3,3,3,5,4,3,3,4,4,4,5,1,4,5,1
#830BC048,85.5,A10079208,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,3,2,2,1,3,NA,2,2,1,4,2,NA,NA,3,1,NA,3,2,2,3,4,4,3,3,1,2,1,2,2,3,3,2,NA,2,2,2,2,3,4,1,NA,2,NA,NA,1,NA,1,1,2,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,3,3,4,4,3,3,3,3,4,3
#834727E3,76,A09997900,44,2,2,4,4,2,2,3,3,1,1,2,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,4,4,4,5,1,NA,4,4,4,4,NA,4,3,3,1,1,2,2,1,1,4,4,3,3,2,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,4,2,2,2,5,2,1,3,4,4,NA,NA,NA,NA,NA,3,3,1,1,NA,NA,NA,1,1,1,3,2,5,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,5,2,2,4,4,5,5,2,1,3,3,1,1,5,5,1,5,5,5,5,1,2,2,NA,NA,5,5,5,5,1,1,2,5,2,2,5,5
#836A2AC3,87,A05265684,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,5,5,1,1,1,1,1,4,4,4,NA,1,3,3,1,5,4,2,2,5,3,3,4,3,2,2,1,1,5,3,1,3,4,4,4,2,2,4,5,2,2,2,5,2,5,5,2,2,5,3,2,2,5,2,2,2,2,3,1,1,1,2,4,4,2,2,2,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,2,3,1,3,5,5,2,2,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,3,3,1,1,5,5,4,4,4,2
#83B49CAB,52.5,A08991980,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,3,3,4,4,2,4,3,2,3,5,4,3,4,3,1,4,5,3,4,1,1,4,5,4,4,NA,1,2,3,2,1,3,2,5,5,4,4,3,5,2,2,5,3,4,3,5,3,4,3,3,1,1,4,4,3,4,2,4,2,2,2,2,2,2,3,3,4,1,3,3,2,2,3,4,1,4,4,4,4,2,2,4,4,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,1,5,4,2,4,4,4,3,4,4,2,3,4,2,2,3,1,2,2,1,4,3,3,3,4,2,3,5,1,4,3,2,3,1,2,1
#83BAC8F1,67,A09810734,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,4,1,1,2,2,3,2,2,3,3,3,4,2,1,2,2,2,2,3,2,2,NA,2,2,NA,NA,1,3,4,1,NA,2,3,2,4,4,3,3,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,2,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
#83C4286F,72.5,A10288767,48,5,2,1,NA,3,3,2,2,5,3,1,3,NA,2,1,3,3,4,4,2,2,3,3,1,2,4,4,4,3,2,5,5,3,4,3,2,1,4,4,4,NA,1,2,3,5,1,1,2,3,2,4,4,5,5,2,2,1,5,1,1,2,1,1,2,2,5,5,5,5,2,2,4,3,3,2,2,2,2,2,NA,5,5,3,4,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,1,4,5,1,NA,4,1,2,5,3,5,5,NA,3,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,2,1,5,5,4,3,2,4,3,3,1,1,5,3,4,4,3,2
#83FEACD1,59.5,A11032402,66,2,2,1,1,2,NA,4,4,5,3,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,1,4,4,4,4,3,1,1,2,1,1,1,4,1,4,4,NA,1,3,3,4,1,3,2,2,2,4,4,3,4,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,5,5,1,3,5,3,2,4,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,NA,1,5,3,2,3,3,NA,NA,NA,NA,1,3,3,3,2,3,NA,NA,NA,NA,2,2,3,NA,4,3,3,3,1,1,4,4,4,1,2,1
