"anid","remote","a1quiz","midterm"
0,"#1264D2A4",8,17
1,"#16E7D928",8,11
2,"#16EF32CB",9,13.5
3,"#16F243A7",7,12.5
4,"#17781877",7,12.5
5,"#19D25299",10,15.5
6,"#1E2EC4F4",7,6.5
7,"#221C0739",8,2.5
8,"#259E44FF",8,17
9,"#31A1B222",10,16
10,"#31A38614",6,2.5
11,"#31A93AA2",9,13.25
12,"#31A965FD",9,17.5
13,"#31BFA927",8,6
14,"#31E070A1",7,10
15,"#31E3C614",3,6
16,"#32087248",9,16.5
17,"#322B0118",NA,15.5
18,"#32344046",9,17.5
19,"#32434736",4,6
20,"#3243A1D0",8,8
21,"#3243F889",7,7
22,"#324C0C72",9,11.5
23,"#324EB7CB",9,11
24,"#32878C39",NA,8
25,"#3289F843",5,6.5
26,"#32AF970A",6,10
27,"#32B1E162",8,15
28,"#32B7AB2E",6,5
29,"#33E74B9F",8,11.5
30,"#34F1D712",9,10.5
31,"#3500F4C1",7,15.75
32,"#3518BB96",7,9
33,"#36BC9218",8,17.5
34,"#36CCAB51",7,2.5
35,"#36E372A7",6,10.25
36,"#38093D0C",7,11
37,"#38189EBE",9,17.5
38,"#381B3615",9,8.5
39,"#381C082C",6,16
40,"#381EF5D3",7,14.5
41,"#3822DEC4",4,8.5
42,"#38246A76",7,16.25
43,"#382B091A",5,4.5
44,"#382B8093",9,13
45,"#382E0B1D",8,13.5
46,"#386E8CDA",5,1.5
47,"#38783474",9,17
48,"#387B692A",7,7.25
49,"#387F185F",8,12.5
50,"#38801FA7",NA,8
51,"#3884E25E",8,2.5
52,"#3889AF1E",7,14.25
53,"#388C9420",6,NA
54,"#388E8234",6,16
55,"#388E992F",6,7
56,"#389004AC",8,10.5
57,"#389051F9",8,12.25
58,"#3890FB53",7,15
59,"#389108A1",8,15.25
60,"#38929339",5,10.5
61,"#38942D81",4,6
62,"#38949834",5,14
63,"#3CAD9B0A",5,11.5
64,"#3CADE677",7,16.25
65,"#3CAE22B0",9,16
66,"#3CAE31A3",8,13.5
67,"#3CAEB426",7,16
68,"#3CAEB527",7,17.5
69,"#3CAEEE7C",6,15.25
70,"#3CAF24B7",8,13.75
71,"#3CAF9003",6,9.5
72,"#3CB0F579",10,15
73,"#3CB10885",4,13.25
74,"#3CB1AE23",6,13
75,"#3CB248C6",9,16
76,"#3CB266E8",7,17.5
77,"#3CB341CE",6,5.5
78,"#3CB69C16",6,10.25
79,"#3CB6B03A",9,8.5
80,"#3CB8E367",3,2
81,"#3CB8E460",10,17
82,"#3CB8E86C",10,16.5
